Date Range,Day of Week,Holiday,Month,Servicetype,Station,Time Period,Year,Avg Daily Entries Rounded,Avg Daily Exits Rounded,Entries,Exits
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Wheaton,Midday (9:30am-3pm),2023,0.10K,0K,100,38
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Forest Glen,Midday (9:30am-3pm),2023,0.05K,0K,53,12
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Takoma,Midday (9:30am-3pm),2023,0.15K,0K,154,68
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,U Street,Midday (9:30am-3pm),2023,0.12K,0K,123,106
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Georgia Ave-Petworth,Midday (9:30am-3pm),2023,0.16K,0K,159,92
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Shaw-Howard U,Midday (9:30am-3pm),2023,0.11K,0K,111,107
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,L'Enfant Plaza,Midday (9:30am-3pm),2023,0.20K,0K,203,484
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Archives,Midday (9:30am-3pm),2023,0.08K,0K,78,255
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Gallery Place,Midday (9:30am-3pm),2023,0.23K,1K,227,513
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Mt Vernon Sq,Midday (9:30am-3pm),2023,0.12K,0K,122,118
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Fort Totten,Midday (9:30am-3pm),2023,0.29K,0K,286,124
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Waterfront,Midday (9:30am-3pm),2023,0.11K,0K,113,97
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Federal Center SW,Midday (9:30am-3pm),2023,0.05K,0K,53,132
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Judiciary Square,Midday (9:30am-3pm),2023,0.14K,0K,136,259
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Navy Yard-Ballpark,Midday (9:30am-3pm),2023,0.20K,0K,199,172
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,West Hyattsville,Midday (9:30am-3pm),2023,0.09K,0K,87,33
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Capitol South,Midday (9:30am-3pm),2023,0.08K,0K,84,319
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Hyattsville Crossing,Midday (9:30am-3pm),2023,0.10K,0K,99,76
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Union Station,Midday (9:30am-3pm),2023,0.41K,1K,414,613
